Source,Target,Type,Weight
AAL,CME,Undirected,0.010325
AAL,CMG,Undirected,0.019772
AAL,CMI,Undirected,-0.028851
AAL,CMS,Undirected,0.011046
AAL,CNC,Undirected,-0.002638
AAL,CNP,Undirected,0.034839
AAL,COF,Undirected,-0.015590
AAL,COG,Undirected,-0.041778
AAL,COH,Undirected,0.011242
AAL,COL,Undirected,0.004615
AAL,COO,Undirected,-0.022502
AAL,COP,Undirected,-0.017551
AAL,COST,Undirected,0.017028
AAL,COTY,Undirected,-0.015752
AAL,CPB,Undirected,0.019539
AAL,CRM,Undirected,0.010881
AAL,CSCO,Undirected,-0.012880
AAL,CSRA,Undirected,0.067833
AAL,CSX,Undirected,0.045475
AAL,CTAS,Undirected,-0.006034
AAL,CTL,Undirected,0.023507
AAL,CTSH,Undirected,-0.002966
AAL,CTXS,Undirected,0.012170
AAL,CVS,Undirected,-0.005348
AAL,CVX,Undirected,-0.018294
AAL,CXO,Undirected,-0.056892
AAL,D,Undirected,0.010068
AAL,DAL,Undirected,-0.032808
AAL,DD,Undirected,0.025984
AAL,DE,Undirected,-0.050997
AAL,DFS,Undirected,-0.053376
AAL,DG,Undirected,-0.002462
AAL,DGX,Undirected,0.013789
AAL,DHI,Undirected,0.003305
AAL,DHR,Undirected,-0.027101
AAL,DIS,Undirected,-0.030905
AAL,DISCA,Undirected,-0.011450
AAL,DISCK,Undirected,-0.021912
AAL,DISH,Undirected,0.027501
AAL,DLPH,Undirected,-0.021636
AAL,DLR,Undirected,0.054471
AAL,DLTR,Undirected,0.020725
AAL,DOV,Undirected,0.028160
AAL,DOW,Undirected,0.006673
AAL,DPS,Undirected,0.010483
AAL,DRI,Undirected,-0.015126
AAL,DTE,Undirected,0.034400
AAL,DUK,Undirected,0.043781
AAL,DVA,Undirected,0.049565
AAL,DVN,Undirected,-0.065407
AAL,DXC,Undirected,-0.199415
AAL,EA,Undirected,0.051101
AAL,EBAY,Undirected,0.010313
AAL,ECL,Undirected,-0.008158
AAL,ED,Undirected,0.026152
AAL,EFX,Undirected,-0.043316
AAL,EIX,Undirected,0.034661
AAL,EL,Undirected,0.030568
AAL,EMN,Undirected,-0.041187
AAL,EMR,Undirected,-0.026116
AAL,EOG,Undirected,-0.032225
AAL,EQIX,Undirected,-0.010212
AAL,EQR,Undirected,0.032277
AAL,EQT,Undirected,-0.058351
AAL,ES,Undirected,0.026060
AAL,ESRX,Undirected,-0.044025
AAL,ESS,Undirected,0.010951
AAL,ETFC,Undirected,-0.012979
AAL,ETN,Undirected,0.008692
AAL,ETR,Undirected,0.042722
AAL,EVHC,Undirected,0.241511
AAL,EW,Undirected,0.036957
AAL,EXC,Undirected,-0.008798
AAL,EXPD,Undirected,0.015658
AAL,EXPE,Undirected,0.032082
AAL,EXR,Undirected,0.022277
AAL,F,Undirected,-0.027668
AAL,FAST,Undirected,0.036995
AAL,FB,Undirected,-0.019519
AAL,FBHS,Undirected,0.020979
AAL,FCX,Undirected,-0.058359
AAL,FDX,Undirected,0.028211
AAL,FE,Undirected,-0.001588
AAL,FFIV,Undirected,-0.017324
AAL,FIS,Undirected,0.020959
AAL,FISV,Undirected,0.016308
AAL,FITB,Undirected,0.026393
AAL,FL,Undirected,0.029716
AAL,FLIR,Undirected,-0.008708
AAL,FLR,Undirected,0.003800
AAL,FLS,Undirected,-0.008290
AAL,FMC,Undirected,-0.058047
AAL,FOX,Undirected,-0.022505
AAL,FOXA,Undirected,-0.039725
AAL,FRT,Undirected,-0.006707
AAL,FTI,Undirected,-0.067006
AAL,FTV,Undirected,0.066851
AAL,GD,Undirected,-0.006317
AAL,GE,Undirected,0.018083
AAL,GGP,Undirected,0.023040
AAL,GILD,Undirected,-0.012045
AAL,GIS,Undirected,0.026855
AAL,GLW,Undirected,-0.000415
AAL,GM,Undirected,-0.023358
AAL,GOOG,Undirected,0.025752
AAL,GOOGL,Undirected,0.027384
AAL,GPC,Undirected,0.042152
AAL,GPN,Undirected,-0.033339
AAL,GPS,Undirected,-0.025953
AAL,GRMN,Undirected,-0.000954
AAL,GS,Undirected,0.004705
AAL,GT,Undirected,0.012727
AAL,GWW,Undirected,0.009139
AAL,HAL,Undirected,-0.053343
AAL,HAS,Undirected,-0.027225
AAL,HBAN,Undirected,0.021865
AAL,HBI,Undirected,-0.019290
AAL,HCA,Undirected,-0.028282
AAL,HCN,Undirected,0.021622
AAL,HCP,Undirected,-0.000896
AAL,HD,Undirected,-0.024996
AAL,HES,Undirected,0.009966
AAL,HIG,Undirected,0.017899
AAL,HLT,Undirected,-0.001916
AAL,HOG,Undirected,0.029412
AAL,HOLX,Undirected,-0.021964
AAL,HON,Undirected,-0.007473
AAL,HP,Undirected,-0.053085
AAL,HPE,Undirected,-0.041857
AAL,HPQ,Undirected,0.025595
AAL,HRB,Undirected,-0.042603
AAL,HRL,Undirected,0.066133
AAL,HRS,Undirected,0.014528
AAL,HSIC,Undirected,0.024819
AAL,HST,Undirected,-0.008536
AAL,HSY,Undirected,0.040279
AAL,HUM,Undirected,0.016887
AAL,IBM,Undirected,0.025677
AAL,ICE,Undirected,0.055564
AAL,IDXX,Undirected,-0.003527
AAL,IFF,Undirected,-0.002620
AAL,ILMN,Undirected,-0.001694
AAL,INCY,Undirected,0.008317
AAL,INFO,Undirected,-0.046911
AAL,INTC,Undirected,-0.006080
AAL,INTU,Undirected,0.008178
AAL,IP,Undirected,0.001612
AAL,IPG,Undirected,-0.030372
AAL,IR,Undirected,-0.034599
AAL,IRM,Undirected,-0.021560
AAL,ISRG,Undirected,-0.011921
AAL,IT,Undirected,0.023418
AAL,ITW,Undirected,0.008644
AAL,IVZ,Undirected,0.002571
AAL,JBHT,Undirected,-0.026879
AAL,JCI,Undirected,-0.002478
AAL,JEC,Undirected,0.003771
AAL,JNJ,Undirected,0.019155
AAL,JNPR,Undirected,-0.009232
AAL,JPM,Undirected,0.019784
AAL,JWN,Undirected,-0.026651
AAL,K,Undirected,0.024303
AAL,KEY,Undirected,0.012504
AAL,KHC,Undirected,-0.037179
AAL,KIM,Undirected,0.026628
AAL,KLAC,Undirected,0.011769
AAL,KMB,Undirected,0.051442
AAL,KMI,Undirected,-0.042786
AAL,KMX,Undirected,-0.034347
AAL,KO,Undirected,0.055860
AAL,KORS,Undirected,-0.036980
AAL,KR,Undirected,0.015979
AAL,KSS,Undirected,-0.016807
AAL,KSU,Undirected,0.009120
AAL,L,Undirected,0.026797
AAL,LB,Undirected,-0.028538
AAL,LEG,Undirected,0.006782
AAL,LEN,Undirected,-0.015753
AAL,LH,Undirected,-0.031167
AAL,LKQ,Undirected,-0.006952
AAL,LLL,Undirected,-0.010753
AAL,LLY,Undirected,0.021104
AAL,LNC,Undirected,-0.003082
AAL,LNT,Undirected,0.027924
AAL,LOW,Undirected,-0.013173
AAL,LRCX,Undirected,0.018354
AAL,LUK,Undirected,-0.039281
AAL,LUV,Undirected,-0.020520
AAL,LVLT,Undirected,-0.037404
AAL,LYB,Undirected,-0.031623
AAL,M,Undirected,-0.035850
AAL,MA,Undirected,0.016066
AAL,MAA,Undirected,0.045466
AAL,MAC,Undirected,0.004971
AAL,MAR,Undirected,0.002771
AAL,MAS,Undirected,0.033371
AAL,MAT,Undirected,-0.029438
AAL,MCD,Undirected,0.016880
AAL,MCHP,Undirected,0.013718
AAL,MCK,Undirected,0.022569
AAL,MCO,Undirected,-0.005430
AAL,MDLZ,Undirected,-0.000629
AAL,MDT,Undirected,0.033257
AAL,MET,Undirected,0.033431
AAL,MHK,Undirected,0.022953
AAL,MKC,Undirected,0.080340
AAL,MLM,Undirected,-0.011421
AAL,MMC,Undirected,0.039495
AAL,MMM,Undirected,0.038669
AAL,MNK,Undirected,-0.043352
AAL,MNST,Undirected,0.084292
AAL,MO,Undirected,0.022654
AAL,MON,Undirected,-0.016724
